ID;RUT;Razon Social;Fecha de actuacion (1era firma);Fecha de registro (ultima firma);Fecha de aprobacion x SII;Anio;Mes;Comuna Tributaria;Region Tributaria;Codigo de sociedad;Tipo de actuacion;Capital;Comuna Social;Region Social
84;76286049-K;Servicios Digitales Enubis Cam limitada;02-05-2013;02-05-2013;02-05-2013;2013;Mayo;MAIPU;13;SRL;CONSTITUCIÓN;7000000;MAIPU;13
508;76286055-4;Fast Good Chile Limitada;02-05-2013;02-05-2013;02-05-2013;2013;Mayo;SAN MIGUEL;13;SRL;CONSTITUCIÓN;25000000;SAN MIGUEL;13
86;76286052-K;Marketing y Publicidad Ideas Movers Ltda.;02-05-2013;02-05-2013;02-05-2013;2013;Mayo;SAN BERNARDO;13;SRL;CONSTITUCIÓN;2000000;SAN BERNARDO;13
321;76286054-6;COMERCIAL Y DISTRIBUIDORA FRUTIMARKET MAYORISTA LIMITADA;02-05-2013;02-05-2013;02-05-2013;2013;Mayo;LO ESPEJO;13;SRL;CONSTITUCIÓN;5000000;LO ESPEJO;13
446;76286056-2;ENLACEDESIGN PRO LTDA.;02-05-2013;02-05-2013;02-05-2013;2013;Mayo;VITACURA;13;SRL;CONSTITUCIÓN;2000000;VITACURA;13
421;76286053-8;Vista TI Soluciones de Negocios Limitada;02-05-2013;02-05-2013;02-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;2000000;PROVIDENCIA;13
1386;76286057-0;Comercial Nature Limitada;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;2000000;PROVIDENCIA;13
1991;76286075-9;SOCIEDAD DE PROFESIONALES MYM LIMITADA;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;CONCEPCION;8;SRL;CONSTITUCIÓN;10000000;CONCEPCION;8
216;76286058-9;Ouroboros Sociedad Limitada;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;3000000;PROVIDENCIA;13
499;76286066-K;FROTHTECH INGENIERÍA Y DESARROLLO LTDA;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;2000000;PROVIDENCIA;13
973;76286065-1;EASYPLAST CHILE LTDA.;02-05-2013;03-05-2013;03-05-2013;2013;Mayo;CERRO NAVIA;13;SRL;CONSTITUCIÓN;14000000;CERRO NAVIA;13
1652;76286069-4;COMPUDATONLINE LTDA.;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;LA FLORIDA;13;SRL;CONSTITUCIÓN;3200000;LA FLORIDA;13
1638;76286072-4;SOCIEDAD DE RESPONSABILIDAD LIMITADA;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;CHILLAN;8;SRL;CONSTITUCIÓN;100000;CHILLAN;8
96;76286059-7;VEGA Y RUIZ Ltda.;02-05-2013;03-05-2013;03-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;1000000;PROVIDENCIA;13
1420;76286073-2;SOCIEDAD AUTOMOTRIZ R Y E LIMITADA;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;PUERTO MONTT;10;SRL;CONSTITUCIÓN;10000000;PUERTO MONTT;10
88;76286067-8;INGENIERIA EN TELECOMUNICACIONES MOVILRED LIMITADA;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;VILLA ALEMANA;5;SRL;CONSTITUCIÓN;500000;VILLA ALEMANA;5
320;76286064-3;NOVIGO CHILE LTDA;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;SAN MIGUEL;13;SRL;CONSTITUCIÓN;5000000;SAN MIGUEL;13
222;76286068-6;Servicios informáticos Syslock Ltda.;02-05-2013;03-05-2013;03-05-2013;2013;Mayo;MAIPU;13;SRL;CONSTITUCIÓN;500000;MAIPU;13
108;76286063-5;ViveCaucho Ltda.;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;PEÑALOLEN;13;SRL;CONSTITUCIÓN;3000000;PEÑALOLEN;13
87;76286061-9;SQL Advanced Servicios de tecnología de la información Ltda;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;1000000;SANTIAGO;13
322;76286071-6;Comercializadora de Insumos y Equipos de Laboratorio Limitada;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;INDEPENDENCIA;13;SRL;CONSTITUCIÓN;3000000;INDEPENDENCIA;13
1280;76286074-0;INSTANET LTDA;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;ÑUÑOA;13;SRL;CONSTITUCIÓN;1000000;ÑUÑOA;13
452;76286062-7;infoaccion Ltda.;03-05-2013;03-05-2013;03-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;5000000;SANTIAGO;13
1199;76286077-5;Transportes Muñoz & Muñoz limitada;04-05-2013;04-05-2013;04-05-2013;2013;Mayo;EL BOSQUE;13;SRL;CONSTITUCIÓN;12000000;EL BOSQUE;13
1920;76286076-7;Sociedad Comercializadora, Distribuidora e Importadora SU &  MA Ltda.;04-05-2013;04-05-2013;04-05-2013;2013;Mayo;LA FLORIDA;13;SRL;CONSTITUCIÓN;2000000;LA FLORIDA;13
506;76286078-3;SOLSER LTDA;02-05-2013;05-05-2013;05-05-2013;2013;Mayo;INDEPENDENCIA;13;SRL;CONSTITUCIÓN;1000000;INDEPENDENCIA;13
1570;76286092-9;ACR Acustica Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;18397864;SANTIAGO;13
2562;76286094-5;COMERCIAL DELUXE LTDA.;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;LAS CONDES;13;SRL;CONSTITUCIÓN;1000000;LAS CONDES;13
1785;76286102-K;CloudAVL Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;IQUIQUE;1;SRL;CONSTITUCIÓN;3000000;IQUIQUE;1
232;76286109-7;INVERSIONES HERRERA MOLINA LIMITADA;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;SANTIAGO;13;SRL;CONSTITUCIÓN;15000000;SANTIAGO;13
938;76286104-6;SEMA Ingenieria y construccion Ltda.;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;INDEPENDENCIA;13;SRL;CONSTITUCIÓN;10000000;INDEPENDENCIA;13
2126;76286085-6;Sociedad Comercial Rojas y Díaz Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;INDEPENDENCIA;13;SRL;CONSTITUCIÓN;1000000;INDEPENDENCIA;13
846;76286107-0;L&R Importadora Exportadora Ltda.;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;CURICO;7;SRL;CONSTITUCIÓN;1500000;CURICO;7
2157;76286096-1;Girocca Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;LO PRADO;13;SRL;CONSTITUCIÓN;1000000;LO PRADO;13
952;76286095-3;centro de atención odontología orthoplan ltda;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;MAIPU;13;SRL;CONSTITUCIÓN;4000000;MAIPU;13
2692;76286083-K;comercializadora laval ltda;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;SAN MIGUEL;13;SRL;CONSTITUCIÓN;3000000;SAN MIGUEL;13
845;76286108-9;Transportes FyJ Ltda.;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;PEÑALOLEN;13;SRL;CONSTITUCIÓN;7500000;PEÑALOLEN;13
1402;76286086-4;Integración Tecnológica Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;VALPARAISO;5;SRL;CONSTITUCIÓN;3000000;VALPARAISO;5
233;76286088-0;transportes varuavaikawa s.a  limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;ISLA DE PASCUA;5;SRL;CONSTITUCIÓN;1000000;ISLA DE PASCUA;5
214;76286098-8;LDT Group Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;PEÑALOLEN;13;SRL;CONSTITUCIÓN;5000000;PEÑALOLEN;13
1953;76286103-8;YAGÁN Ltda;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;VIÑA DEL MAR;5;SRL;CONSTITUCIÓN;1000000;VIÑA DEL MAR;5
2002;76286082-1;Ulloa, Bugueño y Ávila Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;COPIAPO;3;SRL;CONSTITUCIÓN;3000000;COPIAPO;3
275;76286111-9;Importadora Chile Comercial Limitada;02-05-2013;06-05-2013;06-05-2013;2013;Mayo;SAN PEDRO DE LA PAZ;8;SRL;CONSTITUCIÓN;800000;CONCEPCION;8
2004;76286106-2;Juliet Producciones Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;PROVIDENCIA;13;SRL;CONSTITUCIÓN;1000000;PROVIDENCIA;13
316;76286089-9;Desarrollo de Software Abex Technology Ltda.;02-05-2013;06-05-2013;06-05-2013;2013;Mayo;CONCEPCION;8;SRL;CONSTITUCIÓN;800000;CONCEPCION;8
975;76286091-0;Sistemas de Seguridad, Soporte y Suministros Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;LO ESPEJO;13;SRL;CONSTITUCIÓN;500000;LO ESPEJO;13
981;76286079-1;Silva e Hijos Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;COPIAPO;3;SRL;CONSTITUCIÓN;3000000;COPIAPO;3
844;76286099-6;Galleguillos Rodriguez y otros. Limitada;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;ANTOFAGASTA;2;SRL;CONSTITUCIÓN;4000000;ANTOFAGASTA;2
675;76286101-1;COMERCIALIZADORA ASESORIAS Y SERVICIOS DEL NORTE LIMITADA;06-05-2013;06-05-2013;06-05-2013;2013;Mayo;ANTOFAGASTA;2;SRL;CONSTITUCIÓN;5000000;ANTOFAGASTA;2
