"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Competitividad / Conectividad","Dirección de Vialidad",56967,"40059450-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIA REGIÓN DE LOS LAGOS 2024-2025 ","Los Lagos",01/01/24,30/12/25,1821396,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56963,"40060874-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DE OHIGGINS 2023-2025","Libertador General Bernardo O'Higgins",01/01/24,30/12/24,4093153,"CACHAPOAL, CARDENAL CARO, COLCHAGUA","RANCAGUA, CODEGUA, COINCO, COLTAUCO, DOÑIHUE, GRANEROS, LAS CABRAS, MACHALI, MALLOA, MOSTAZAL, OLIVAR, PEUMO, PICHIDEGUA, QUINTA DE TILCOCO, RENGO, REQUINOA, SAN VICENTE, PICHILEMU, LA ESTRELLA, LITUECHE, MARCHIHUE, NAVIDAD, PAREDONES, SAN FERNANDO, CHEPICA, CHIMBARONGO, LOLOL, NANCAGUA, PALMILLA, PERALILLO, PLACILLA, PUMANQUE, SANTA CRUZ"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56962,"40060879-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIA DE CAUCES NATURALES REGION DE ÑUBLE 2023 - 2025","Ñuble",23/10/23,01/09/24,3832688,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56886,"40060734-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DEL MAULE 2023 - 2025","Maule",20/02/24,08/03/25,16520764,"TALCA, CAUQUENES, CURICO, LINARES","TALCA, CONSTITUCION, CUREPTO, EMPEDRADO, MAULE, PELARCO, PENCAHUE, RIO CLARO, SAN CLEMENTE, SAN RAFAEL, CAUQUENES, CHANCO, PELLUHUE, CURICO, HUALAÑE, LICANTEN, MOLINA, RAUCO, ROMERAL, SAGRADA FAMILIA, TENO, VICHUQUEN, LINARES, COLBUN, LONGAVI, PARRAL, RETIRO, SAN JAVIER, VILLA ALEGRE, YERBAS BUENAS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",56803,"40060006-0","EN EJECUCION","Sectorial","CONSERVACION CALETA PUNTA LAVAPIE, ARAUCO","Biobío",30/05/24,27/10/24,291822,"ARAUCO","ARAUCO"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",56401,"40059911-0","EN EJECUCION","Sectorial","ANALISIS GEOTECNICO Y DE MAREAS EN PUNTA LAVAPIE, ARAUCO ","Biobío",28/05/24,10/10/24,299363,"ARAUCO","ARAUCO"
"Competitividad / Conectividad","Dirección de Aeropuertos",56373,"40059949-0","EN EJECUCION","Sectorial","CONSERVACION RUTINARIA AREA DE MOVIMIENTO AERÓDROMO DE CALDERA ","Atacama",10/05/24,29/12/24,2207898,"COPIAPO","CALDERA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",56372,"40059955-0","EN EJECUCION","Sectorial","CONSERVACION PUNTO DE POSADA AERÓDROMO DE VALLENAR ","Atacama",16/04/24,01/12/24,406879,"HUASCO","VALLENAR"
"Competitividad / Conectividad","Dirección de Aeropuertos",56359,"40059692-0","EN EJECUCION","Sectorial","CONSERVACION CERCOS Y CAMINOS PERIMETRALES AEROPUERTO ANDRES SABELLA ","Antofagasta",24/04/24,01/11/26,1577258,"ANTOFAGASTA","ANTOFAGASTA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",56357,"40055566-0","EN EJECUCION","Sectorial","CONSTRUCCION PUNTO DE POSADA PARA HELICOPTEROS, AERODROMO LAS MARIAS DE VALDIVIA ","Los Ríos",28/05/24,22/12/24,1134385,"VALDIVIA","VALDIVIA"
