"CODIGOCONTRATO","NOMBRE_TIPOREGISTRO","CODIGO_ESPECIALIDAD","NOMBRE_ESPECIALIDAD","CODIGO_CATEGORIA","NOMBRE_CATEGORIA"
148176,"Contratista O. Menores","13 O.M.","Instalaciones Eléctricas","A a S","A Superior"
155576,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
138305,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
138305,"Contratista O. Mayores","10 O.C.","Fundaciones","3era A","Tercera A"
138305,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","2da","Segunda"
149270,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
149270,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
161281,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
143926,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
143926,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
156850,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","2da","Segunda"
158235,"Contratista O. Mayores","6 O.C.","Obras de Arquitectura","3","Tercera"
157258,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
157258,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
157258,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
156448,"Consultor","1.1.","General (Desarrollo Multidisciplinario)","1a S","Primera Superior"
156448,"Consultor","1.3.","De Sistemas de Transporte","1a S","Primera Superior"
156448,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1era","Primera"
148198,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","A","A"
149131,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
149131,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
159016,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
158923,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era B","Tercera B"
159728,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
156856,"Consultor","3.7.","Estudios Hidrologicos, Hidrogeologicos y Meteorologicos","2da","Segunda"
159724,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","A","A"
160402,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
160402,"Contratista O. Menores","3 O.M.","Bases y Sub-Bases","A a S","A Superior"
159974,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
159974,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
159974,"Contratista O. Mayores","10 O.C.","Fundaciones","2da","Segunda"
160402,"Contratista O. Menores","5 O.M.","Pavimentos","A a S","A Superior"
149198,"Contratista O. Mayores","10 O.C.","Fundaciones","3era B","Tercera B"
149198,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
149198,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","3era B","Tercera B"
153815,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
159891,"Consultor","3.6.","Ingenieria de Transito","1era","Primera"
138291,"Contratista O. Mayores","10 O.C.","Fundaciones","1era","Primera"
138291,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","1era","Primera"
159891,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1era","Primera"
160683,"Contratista O. Menores","7 O.M.","Instalación de Tuberías","B","B"
149205,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1a S","Primera Superior"
160807,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
160807,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
138184,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
138184,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
158665,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
148093,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
148093,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A","A"
161200,"Contratista O. Mayores","8 O.C.","Sondajes y Prospecciones","3era A","Tercera A"
143747,"Contratista O. Menores","9 O.M.","Obras de Arquitectura","A a S","A Superior"
157699,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
158831,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
158831,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
158831,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era A","Tercera A"
151541,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
151541,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
155723,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
155723,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
157603,"Contratista O. Mayores","16 O.C.","Reparación de Puentes y Cruces Desnivelados","3era B","Tercera B"
149014,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
159012,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
159017,"Contratista O. Menores","5 O.M.","Pavimentos","A","A"
161334,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A a S","A Superior"
158404,"Contratista O. Mayores","3 O.C.","Pavimentos","3era B","Tercera B"
159118,"Contratista O. Menores","10 O.M.","Sondaje y Prospecciones","B","B"
149250,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3","Tercera"
149250,"Contratista O. Mayores","3 O.C.","Pavimentos","3","Tercera"
149020,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
149340,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
149340,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
158404,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
158027,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
158027,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","2da","Segunda"
158027,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
158027,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","2da","Segunda"
155769,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
155769,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","B","B"
161701,"Sin Registro","0","Sin Especialidad","no existe","no existe"
161281,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
161281,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3","Tercera"
158663,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
165213,"Otro Registro","0","Sin Especialidad","no existe","no existe"
165710,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","A","A"
165038,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
105323,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
165038,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
160511,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
105323,"Contratista O. Menores","19 O.M.","Conservación Habitual de caminos y obras de regadío","B","B"
105323,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
105323,"Contratista O. Menores","22 O.M.","Revestimientos de Canales","A","A"
166046,"Otro Registro","0","Sin Especialidad","no existe","no existe"
162251,"Sin Registro","0","Sin Especialidad","no existe","no existe"
166201,"Contratista O. Menores","13 O.M.","Instalaciones Eléctricas","B","B"
166201,"Contratista O. Menores","19 O.M.","Conservación Habitual de caminos y obras de regadío","B","B"
